CMTE_ID,TOTAL_TRANSACTIONS,YEAR,CMTE_NAME
C00053553,291971,4,NRA POLITICAL VICTORY FUND
C00075820,110717,4,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE EXPENDITURES
C00307777,103033,4,FREEDOM CLUB FEDERAL PAC
C00003418,93043,3,REPUBLICAN NATIONAL COMMITTEE - RNC
C00129171,85209,4,MINNESOTA CITIZENS CONCERNED FOR LIFE COMMITTEE FOR A PRO-LIFE CONGRESS
C00347203,45911,1,KENNEDY FOR CONGRESS
C00077321,43917,3,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS EFFECTIVE LEGISLATION COMMITTEE (AICPA)
C00305805,41104,4,FREEDOM PROJECT; THE
C00010421,40000,4,ASSOCIATED BUILDERS AND CONTRACTORS POLITICAL ACTION COMMITTEE (ABC/PAC)
C00000935,39146,1,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE - EXPENDITURES
C00144766,39000,4,NATIONAL BEER WHOLESALERS' ASSOCIATION POLITICAL ACTION COMMITTEE (NBWA PAC)
C00067884,37000,4,"CARGILL, INCORPORATED, POLITICAL ACTION COMMITTEE"
C00307405,35000,4,KEEP OUR MAJORITY POLITICAL ACTION COMMITTEE (KOMPAC)
C00062646,35000,3,GENERAL MILLS INC POLITICAL ACTION COMMITTEE (GM PAC)
C00003764,35000,4,NATIONAL RESTAURANT ASSOCIATION POLITICAL ACTION         COMMITTEE
C00328468,35000,4,COMMITTEE FOR THE PRESERVATION OF CAPITALISM
C00000901,35000,3,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS
C00082917,33363,4,ASSOCIATED GENERAL CONTRACTORS OF AMERICA POLITICAL ACTION COMMITTEE
C00098061,32500,4,TARGET CITIZEN'S FEDERAL FORUM
C00093054,32500,3,WAL-MART STORES INC PAC FOR RESPONSIBLE GOVERNMENT
C00004275,32500,4,AMERICAN BANKERS ASSOCIATION BANKPAC
C00040998,32000,3,DEALERS ELECTION ACTION COMMITTEE OF THE NATIONAL AUTOMOBILE DEALERS ASSOCIATION (NADA)
C00010470,32000,4,UNION PACIFIC CORP FUND FOR EFFECTIVE GOVERNMENT
C00000422,31500,3,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE
C00101105,30500,4,NATIONAL FEDERATION OF INDEPENDENT BUSINESS/ SAVE AMERICA'S FREE ENTERPRISE TRUST
C00211318,30000,3,DELOITTE AND TOUCHE LLP FEDERAL POLITICAL ACTION COMMITTEE
C00227744,30000,3,ERNST & YOUNG POLITICAL ACTION COMMITTEE
C00064766,30000,3,UNITED PARCEL SERVICE INC POLITICAL ACTION COMMITTEE
C00107235,30000,3,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I
C00332296,29750,2,SUSAN B ANTHONY LIST CANDIDATE FUND
C00166348,29450,4,SOUTHERN MINNESOTA SUGAR COOPERATIVE POLITICAL ACTION COMMITTEE
C00018036,29128,3,U S BANCORP POLITICAL PARTICIPATION PROGRAM
C00250399,28500,4,AMERICANS FOR FREE INTERNATIONAL TRADE POLITICAL ACTION COMMITTEE INC
C00104802,28500,3,NORTHWEST AIRLINES POLITICAL ACTION COMMITTEE (FKA REPUBLIC AIRLINES PAC)
C70001847,28433,3,AMERICAN MEDICAL ASSOCIATION
C00111278,28091,3,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
C00068692,26000,3,FEDERAL EXPRESS POLITICAL ACTION COMMITTEE (FED EXPAC)
C00314641,26000,4,LEADERSHIP PAC 2000
C00042002,25000,4,RJR POLITICAL ACTION COMMITTEE; R J REYNOLDS TOBACCO HOLDINGS INC
C00110338,25000,3,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE
C00236489,25000,3,KOCH INDUSTRIES INC POLITICAL ACTION COMMITTEE (KOCHPAC)
C00027466,25000,1,NATIONAL REPUBLICAN SENATORIAL COMMITTEE
C00292946,25000,3,AMERICANS FOR A REPUBLICAN MAJORITY (ARMPAC)
C00007880,25000,3,CREDIT UNION LEGISLATIVE ACTION COUNCIL OF CUNA
C00002972,24500,3,ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE) NATIONAL RURAL ELECTRIC COOP. ASSOC.
C00014555,23131,3,FOOD MARKETING INSTITUTE POLITICAL ACTION COMMITTEE (FOOD PAC)
C00106146,23000,4,AMERICAN HOSPITAL ASSOCIATION POLITICAL ACTION COMMITTEE (AHAPAC)
C00193177,23000,2,FINANCIAL SERVICES ROUNDTABLE - POLITICAL ACTION COMMITTEE (FSR-PAC)
C00384032,22834,1,
C00218263,22700,4,TCF PAC
C00032698,22500,4,INDEPENDENT COMMUNITY BANKERS OF AMERICA POLITICAL ACTION COMMITTEE
C00167916,22000,3,LOCKRIDGE GRINDAL NAUEN POLITICAL FUND
C00113811,22000,3,"ELECTRICAL CONSTRUCTION PAC-NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC (ECPAC)"
C00107771,21750,4,XCEL ENERGY EMPLOYEE POLITICAL ACTION COMMITTEE
C00280222,21200,3,KPMG PARTNERS/PRINCIPALS & EMPLOYEES POLITICAL ACTION COMMITTEE
C00199703,21000,3,GLAXO WELLCOME INC POLITICAL ACTION COMMITTEE
C00121368,21000,4,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC)
C00002881,20999,3,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS' INC
C00360362,20500,4,SCHWAN'S POLITICAL ACTION COMMITTEE (SCHWAN'S PAC)
C70000120,20329,1,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO (D.C.)"
C00330068,20096,3,NEW AMERICAN CENTURY POLITICAL ACTION COMMITTEE
C00386573,20000,2,
C00120006,20000,3,MINNESOTA LIFE INSURANCE COMPANY PAC
C00016683,20000,2,PFIZER INC. PAC
C00148031,20000,3,CATERPILLAR EMPLOYEES POLITICAL ACTION COMMITTEE
C00305797,20000,2,FIGHT-PAC
C00325076,20000,2,CAMPAIGN FOR WORKING FAMILIES
C00376376,20000,2,
C00235655,20000,2,BLUEGRASS COMMITTEE
C00344648,19999,4,RELY ON YOUR BELIEFS FUND
C00126763,19500,3,NATIONAL ASSOCIATION OF CONVENIENCE STORES POLITICAL ACTION COMMITTEE
C00022343,19000,3,INDEPENDENT INSURANCE AGENTS OF AMERICA INC POLITICAL ACTION COMMITTEE (INSURPAC)
C00030718,19000,3,REALTORS POLITICAL ACTION COMMITTEE
C00089136,19000,2,PHILIP MORRIS COMPANIES INC POLITICAL ACTION COMMITTEE (AKA PHIL-PAC)
C00325357,18876,3,PIONEER POLITICAL ACTION COMMITTEE
C00301366,18500,3,MAJORITY LEADER'S FUND
C00067504,18500,3,SECURITIES INDUSTRY ASSOCIATION POLITICAL ACTION COMMITTEE
C00101485,18500,3,ECOLAB INC POLITICAL ACTION COMMITTEE
C00343137,18000,1,POLITICAL ACTION COMMITTEE OF THE AMERICAN ASSOCIATION OF ORTHOPAEDIC SURGEONS
C00001313,18000,2,REPUBLICAN PARTY OF MINNESOTA
C00237156,17500,3,QWEST COMMUNICATIONS INTERNATIONAL INC POLITICAL ACTION COMMITTEE (QWEST PAC)
C00207308,17000,3,"AG PROCESSING INC POLITICAL ACTION COMMITTEE, AGPAC"
C00122101,17000,4,SAFARI CLUB INTERNATIONAL POLITICAL ACTION COMMITTEE
C00024281,16500,4,AMERICAN MEAT INSTITUTE POLITICAL ACTION COMMITTEE
C00034132,16063,2,FLUOR CORPORATION PUBLIC AFFAIRS C0MMITTEE (FLUOR PAC)
C00379479,16000,2,
C00087874,16000,4,"CONAGRA, INC. GOOD GOVERNMENT ASSOCIATION"
C00018028,16000,4,PRINTING INDUSTRIES OF AMERICA
C00084475,15900,4,MINNESOTA MINING & MANUFACTURING COMPANY POLITICAL ACTION COMMITTEE (3M PAC)
C70002969,15713,4,NATIONAL FEDERATION OF INDEPENDENT BUSINESS SAVE AMERICA'S FREE ENTERPRISE TRUST
C00034785,15500,2,AMERICAN COLLECTORS ASSOCIATION INC ACPAC
C00193631,15500,3,FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE
C00356915,15500,3,METRIS COMPANIES INC POLITICAL ACTION COMMITTEE
C00370668,15000,2,
C00012914,15000,2,TITLE INDUSTRY POLITICAL ACTION COMMITTEE
C00336644,15000,2,AMERICAN SUCCESS POLITICAL ACTION COMMITTEE
C00253153,15000,3,OUTBACK STEAKHOUSE INC POLITICAL ACTION COMMITTEE
C00186288,15000,2,VERIZON COMMUNICATIONS INC GOOD GOVERNMENT CLUB (FKA BELL ATLANTIC CORPORATION PAC)
C00117721,15000,2,CONGRESSIONAL MAJORITY COMMITTEE (FKA) 96TH CLUB CAMPAIGN COMMITTEE
C00384701,15000,2,
C00343947,15000,1,NEXT CENTURY FUND
C00158980,15000,3,"BOND MARKET ASSOCIATION POLITICAL ACTION COMMITTEE, THE (BONDPAC)"
C00034405,14999,3,INTERNATIONAL PAPER POLITICAL ACTION COMMITTEE (IP-PAC)
C00246306,14559,3,INDEPENDENT ASSOCIATION OF AMERICA WILDCATTERS FUND (IPAA WILDCATTERS FUND)
C00235739,14000,3,BURLINGTON NORTHERN SANTA FE CORPORATION RAILPAC (BNSF RAILPAC)
C00008474,14000,2,CITIGROUP INC POLITICAL ACTION COMMITTEE-FEDERAL (CITIGROUP PAC-FEDERAL)
C00311878,14000,3,"MEDTRONIC, INC. MEDICAL TECHNOLOGY FUND"
C70000716,13656,4,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION)
C00082040,13500,3,US CHAMBER OF COMMERCE PAC (NCAP)
C00364174,13500,2,
C00128231,13500,4,"ICE CREAM, MILK&CHEESE PAC-INTL ICE CREAM ASSN, MILK INDUSTRY FDTN &NATL CHEESE INSTITUTE"
C00109017,13500,3,SBC COMMUNICATIONS INC EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (SBC EMPAC)
C00095109,13250,3,FIREMAN'S FUND INSURANCE COMPANY EMPLOYEES COMMITTEE FOR RESPONSIBLE GOVERNMENT (FUNDPAC)
C00018945,13250,4,DORSEY NATIONAL FUND
C00284885,13000,2,HOME DEPOT INC BETTER GOVERNMENT COMMITTEE;THE
C00340661,13000,2,TEXAS FREEDOM FUND
C00009985,13000,4,NATIONAL ASSOCIATION OF BROADCASTERS TELEVISION AND RADIO POLITICAL ACTION COMMITTEE
C00255752,13000,3,AMERICAN SOCIETY OF ANESTHESIOLOGISTS INCORPORATED POLITICAL ACTION COMMITTEE
C00108035,13000,2,MCKESSON HBOC INC EMPLOYEES POLITICAL FUND
C00039578,12816,3,COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE; THE
C00105981,12500,2,INVESTMENT MANAGEMENT POLITICAL ACTION CMTE OF THE INVESTMENT COMPANY INSTITUTE (IMPAC)
C00227546,12500,3,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE
C00300483,12500,2,NEW REPUBLICAN MAJORITY FUND
C00034488,12500,2,ANHEUSER-BUSCH COMPANIES INC POLITICAL ACTION COMMITTEE (AB-PAC)
C00009423,12500,3,LAND O'LAKE INC POLITICAL ACTION COMMITTEE
C00121319,12000,4,AID ASSOCIATION FOR LUTHERANS EMPLOYEE POLITICAL ACTION COMMITTEE
C00392134,12000,2,
C00080515,11500,2,"EMERSON ELECTRIC CO. POLITICAL ACTION COMMITTEE (""EMPAC"")"
C00365171,11500,3,
C00034595,11500,2,WELLS FARGO EMPLOYEE PAC (FKA NORWEST CORPORATION PAC)
C00076182,11500,3,NATIONAL TURKEY FEDERATION POLITICAL ACTION COMMITEE/TURPAC
C00150367,11500,2,VENTUREPAC
C00034272,11398,3,NATIONAL CHICKEN COUNCIL POLITICAL ACTION COMMITTEE (FKA) NATIONAL BROILER COUNCIL PAC
C00001727,11280,3,BUSINESS INDUSTRY POLITICAL ACTION COMMITTEE
C70000112,11006,1,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE
C00039321,11000,3,PEPSICO INC CONCERNED CITIZENS FUND
C00340083,11000,3,SUIZA FOODS CORPORATION POLITICAL ACTION COMMITTEE (SUIZA PAC)
C00000729,11000,3,AMERICAN DENTAL POLITICAL ACTION COMMITTEE
C00078451,11000,2,GENERAL DYNAMICS VOLUNTARY POLITICAL CONTRIBUTION PLAN
C00325993,11000,2,DEFEND AMERICA PAC
C00250209,10500,3,ALLIANT TECHSYSTEMS INC EMPLOYEE CITIZENSHIP FUND
C00335133,10000,1,ALLIANCE FOR THE WEST
C00345629,10000,1,SANDHILLS POLITICAL ACTION COMMITTEE
C00361956,10000,2,21ST CENTURY MAJORITY FUND
C00131185,10000,2,AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE
C00326082,10000,1,FUND FOR A CONSERVATIVE FUTURE
C00354308,10000,1,IMPACT AMERICA
C00356378,10000,1,BUCKEYE POLITICAL ACTION COMMITTEE
C00331827,10000,1,NORTHERN LIGHTS POLITICAL ACTION COMMITTEE
C00328401,10000,1,LINCOLN CLUB OF ORANGE COUNTY FEDERAL PAC
C00335448,10000,1,SOLUTIONS AMERICA PAC
C00108282,10000,1,DARDEN RESTAURANTS INC EMPLOYEES GOOD GOVERNMENT FUND (FKA GENERAL MILLS REST INC...FUND)
C00330464,10000,2,BAYOU LEADER POLITICAL ACTION COMMITTEE
C00344333,10000,1,RESTORE AMERICA PAC INC
C00377028,10000,2,
C00306449,10000,1,AMERICAN ACADEMY OF OTOLARYNGOLOGY - HEAD AND NECK SURGERY INC (ENT PAC)
C00409003,10000,1,
C00389668,10000,1,
C00388421,10000,1,
C00296640,10000,1,REPUBLICAN MAJORITY FUND
C00035006,10000,1,CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE
C00387464,10000,1,
C00390674,10000,1,
C00387134,10000,1,
C00040279,10000,1,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITT
C00040535,10000,3,AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE (AXP PAC)
C00376038,10000,1,
C00370932,10000,1,
C00202861,10000,1,SENATE VICTORY FUND PAC (FKA COCHRAN COMMITTEE)
C00408146,10000,1,
C00012245,10000,1,PAINEWEBBER FUND FOR BETTER GOVERNMENT
C00409631,10000,1,
C00394916,10000,1,
C00363689,10000,1,TALLATCHEE CREEK INC
C00364158,10000,1,
C00364596,10000,1,
C00364737,10000,1,
C00325035,10000,1,FRIENDS OF THE BIG SKY
C00365551,10000,1,
C00317479,10000,1,GOOD GOVERNMENT FOR AMERICA
C00409987,10000,1,
C00368431,10000,1,
C00005249,9500,2,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMMITTEE
C00089458,9500,3,"NATIONAL AGGREGATES ASSOCIATION-NATIONAL STONE ASSOCIATION (""NAA-NSA"") ROCKPAC"
C00204099,9000,2,DEERE & COMPANY POLTICAL ACTION COMMITTEE (ALSO CALLED JOHN DEERE POLITICAL ACTION CMTE)
C00331835,9000,2,SALLIE MAE INC POLITICAL ACTION COMMITTEE (SALLIE MAE PAC)
C00144311,9000,4,MAY DEPARTMENT STORES COMPANY POLITICAL ACTION COMMITTEE (MAYPAC)
C00355271,8500,3,FEDERAL VICTORY FUND
C00010082,8500,2,NATIONAL CABLE TELEVISION ASSOCIATION'S POLITICAL ACTION COMMITTEE (CABLE PAC)
C00274431,8500,3,UNITEDHEALTH GROUP INCORPORATED POLITICAL FUND
C00346536,8500,3,CLUB FOR GROWTH INC PAC
C00350462,8500,3,CONTINUING A MAJORITY PARTY ACTION COMMITTEE (CAMPAC)
C00174060,8250,3,BELLSOUTH CORPORATION EMPLOYEES' FEDERAL POLITICAL ACTION COMMITTEE
C00244129,8100,4,JIM RAMSTAD VOLUNTEER COMMITTEE
C00253971,8000,2,FRIENDS OF PHIL GRAMM
C00231407,8000,3,GOLDEN RULE FINANCIAL CORPORATION - POLITICAL ACTION COMMITTEE
C00114025,8000,4,NATIONAL READY MIXED CONCRETE ASSOCIATION POLITICAL ACTION COMMITTEE (CONCRETEPAC)
C00109819,8000,3,COALPAC A POLITICAL ACTION COMMITTEE OF THE NATIONAL MINING ASSOCIATION
C00255406,8000,3,REPUBLICAN NATIONAL COALITION FOR LIFE POLITICAL ACTION COMMITTEE (RNC/LIFE PAC)
C00082271,8000,2,PRECISION METALFORMING ASSOCIATION VOICE OF THE INDUSTRY COMMITTEE (PMAVIC)
C00196246,8000,2,"AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (""OPHTHPAC"")"
C00038604,8000,2,AMERICAN FINANCIAL SERVICES ASS'N PAC (FORMERLY- NATIONAL CONSUMER FINANCE ASS'N PAC)
C00144774,8000,1,SOUTHERN COMPANY EMPLOYEES PAC
C00329425,8000,3,NATIONAL FRANCHISEE ASSOCIATION PAC (NFA-PAC)
C00315275,7714,2,RE-ELECT FRESHMAN OF THE REPUBLICAN MAJORITY (REFORM PAC)
C00066472,7500,3,NATIONAL ASSOCIATION OF INDEPENDENT INSURERS POLITICAL ACTION COMMITTEE
C00002261,7500,1,FEDERATION OF AMERICAN HOSPITALS PAC (FEDPAC); (FKA AMERICAN HEALTH SYSTEMS PAC)
C00236778,7500,3,OWNER-OPERATOR INDEPENDENT DRIVERS ASSN INC POLITICAL ACTION COMMITTEE (AKA OOIDA-PAC)
C00412320,7500,1,
C00315747,7500,2,CALIFORNIA 2000
C00010124,7500,3,ASSOCIATED EQUIPMENT DISTRIBUTORS POLITICAL ACTION COMMITTEE
C00359539,7459,1,AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE (AKA:SKINPAC)
C00283523,7000,1,DALLAS ENTREPRENEURIAL POLITICAL ACTION COMMITTEE (DALENPAC)
C00140061,7000,1,NATIONAL EMERGENCY MEDICINE PAC OF THE AMERICAN COLLEGE OF EMERGENCY PHYSICIANS
C00250134,7000,2,COCA-COLA ENTERPRISES INC EMPLOYEE NONPARTISAN COMMITTEE FOR GOOD GOVERNMENT
C00326595,7000,1,CAPITAL ONE FINANCIAL CORP ASOC POL FUND FKA CAPITAL ONE ASSOC POLITICAL FUND
C00164939,7000,3,MINN-DAK FARMERS COOPERATIVE POLITICAL ACTION COMMITTEE (MDFPAC)
C00235036,7000,2,"ZURICH HOLDING CO OF AMERICA INC COMMITTEE FOR GOOD GOVERNMENT (""ZURICH-KEMPER PAC"")"
C00304634,7000,3,MINEPAC A POLITICAL ACTION COMMITTEE OF THE NATIONAL MINING ASSOCIATION
C00281212,7000,1,BAE SYS NORTH AMER INC PAC (BAE SYS USA PAC) FKA MARCONI N-AMER INC PAC (MARCONI USA PAC)
C00000042,7000,3,ILLINOIS TOOL WORKS FOR BETTER GOVERNMENT COMMITTEE
C00100693,7000,2,CHICAGO BOARD OF OPTIONS EXCHANGE INC PAC
C00059733,7000,2,BROWN-FORMAN CORPORATION NON-PARTISAN COMMITTEE FOR RESPONSIBLE GOVERNMENT
C00040568,7000,1,MARATHON OIL COMPANY EMPLOYEES POLITICAL ACTION COMMITTEE (MEPAC)
C00040329,7000,4,NATIONAL RETAIL FEDERATION RETAILPAC
C00039016,7000,3,CLEVELAND-CLIFFS INC POLITICAL ACTION COMMITTEE (CLIFFS PAC)
C00093963,7000,2,ARCHER DANIELS MIDLAND COMPANY-ADM PAC
C00392621,7000,1,
C00398750,7000,2,
C00350744,7000,3,GOLDMAN SACHS GROUP INC POLITICAL ACTION COMMITTEE
C00201871,6700,3,NATIONAL PORK PRODUCERS COUNCIL PORK PAC
C00229203,6500,1,"CHUBB CORPORATION POLITICAL ACTION COMMITTEE ""CHUBBPAC"""
C00029348,6500,2,AMERICAN FOREST & PAPER ASSOC PAC (AF&PAPAC) FKA FOREST INDUSTRIES PAC (FIPAC)
C00097550,6500,1,WASHINGTON GROUP INTERNATIONAL INC POLITICAL ACTION COMMITTEE
