YEAR,CMTE_ID,TOTAL_TRANSACTIONS,CMTE_NAME
2006,C00326595,7000,CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL  FUND
2006,C00392621,7000,SNOW PAC
2006,C00140061,7000,NATIONAL EMERGENCY MEDICINE POLITICAL ACTION COMMITTEE
2006,C00040568,7000,MARATHON OIL COMPANY EMPLOYEES POLITICAL ACTION COMMITTEE (MEPAC)
2004,C00042002,7000,R.J. REYNOLDS POLITICAL ACTION COMMITTEE; REYNOLDS AMERICAN INC.
2004,C00005249,7000,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMMITTEE
2004,C00007880,7000,CREDIT UNION LEGISLATIVE ACTION COUNCIL OF CUNA
2004,C00002972,7000,ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE) NATIONAL RURAL ELECTRIC COOP. ASSOC.
2004,C00236489,7000,KOCH INDUSTRIES INC POLITICAL ACTION COMMITTEE (KOCHPAC)
2004,C00113811,7000,"ELECTRICAL CONSTRUCTION PAC-NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC (ECPAC)"
2002,C00301366,7000,FREEDOM WORKS PAC
2002,C00010470,7000,UNION PACIFIC CORP FUND FOR EFFECTIVE GOVERNMENT
2002,C00315275,6714,REFORM PAC
2006,C00097550,6500,WASHINGTON GROUP INTERNATIONAL POLITICAL ACTION COMMITTEE
2006,C00229203,6500,"CHUBB CORPORATION POLITICAL ACTION COMMITTEE-CHUBBPAC, THE"
2004,C00150367,6500,VENTUREPAC
2002,C00009423,6500,LAND O'LAKES INC/AGRILIANCE LLC PAC (LOL PAC) FKA LAND O'LAKE INC PAC
2002,C00107771,6250,XCEL ENERGY EMPLOYEE POLITICAL ACTION COMMITTEE
2000,C70000716,6210,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION)
2004,C70000716,6204,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION)
2004,C00034132,6063,FLUOR CORPORATION PUBLIC AFFAIRS COMMITTEE
2006,C00253971,6000,FRIENDS OF PHIL GRAMM PAC
2006,C00039321,6000,PEPSICO INC. CONCERNED CITIZENS FUND
2006,C00066472,6000,PROPERTY CASUALTY INSURERS ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE  (PCIPAC)
2006,C00109819,6000,COALPAC A POLITICAL ACTION COMMITTEE OF THE NATIONAL MINING ASSOCIATION
2006,C00387720,6000,US-CUBA DEMOCRACY POLITICAL ACTION COMMITTEE
2006,C00388934,6000,FUND FOR AMERICA'S FUTURE
2006,C00038604,6000,AMERICAN FINANCIAL SERVICES ASSOCIATION PAC
2006,C00068692,6000,FEDERAL EXPRESS POLITICAL ACTION COMMITTEE
2004,C00121368,6000,EXXONMOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC)
2004,C00227546,6000,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE
2004,C00237156,6000,QWEST COMMUNICATIONS INTERNATIONAL INC POLITICAL ACTION COMMITTEE
2004,C00370791,6000,MAJORITY INITIATIVE TO KEEP ELECTING REPUBLICANS FUND
2004,C00030718,6000,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE
2002,C00121368,6000,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC)
2002,C00018945,6000,DORSEY NATIONAL FUND
2006,C00095869,5757,POWERPAC OF THE EDISON ELECTRIC INSTITUTE
2006,C00076182,5500,NATIONAL TURKEY FEDERATION POLITICAL ACTION COMMITEE/TURPAC
2006,C00181826,5500,AETNA INC. POLITICAL ACTION COMMITTEE
2004,C00356915,5500,METRIS COMPANIES INC. POLITICAL ACTION COMMITTEE
2004,C00034785,5500,AMERICAN COLLECTORS ASSOCIATION INC (ACPAC)
2002,C00346536,5500,CLUB FOR GROWTH INC PAC
2006,C00151340,5000,DLA PIPER US LLP POLITICAL ACTION COMMITTEE (DLA PIPER PAC)
2006,C00314641,5000,LEADERSHIP PAC 2006
2006,C00311878,5000,MEDTRONIC INC. MEDICAL TECHNOLOGY FUND
2006,C00219642,5000,ENTERPRISE RENT-A-CAR COMPANY POLITICAL ACTION COMMITTEE
2006,C00307405,5000,KEEP OUR MAJORITY PAC
2006,C00243220,5000,SUPERVALU INC POLITICAL ACTION COMMITTEE
2006,C00245548,5000,NATIONAL MARINE MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE
2006,C00150995,5000,NATIONAL PAC INC A/K/A NATPAC
2006,C00250134,5000,COCA-COLA ENTERPRISES INC EMPLOYEES PAC
2006,C00295527,5000,CITIZENS UNITED POLITICAL VICTORY FUND
2006,C00293910,5000,AMERICAN ASSOCIATION OF ORTHODONTISTS POLITICAL ACTION COMMITTEE
2006,C00196246,5000,AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (OPHTHPAC)
2006,C00283135,5000,NATIONAL ASSOCIATION OF HEALTH UNDERWRITERS PAC (HUPAC)
2006,C00279497,5000,POLARIS INDUSTRIES INC POLITICAL PARTICIPATION PROGRAM
2006,C00174227,5000,BAKER & HOSTETLER POLITICAL ACTION COMMITTEE
2006,C00257329,5000,"PROCTER & GAMBLE COMPANY GOOD GOVERNMENT COMMITTEE (AKA P&G PAC), THE"
2006,C00000042,5000,ILLINOIS TOOL WORKS FOR BETTER GOVERNMENT COMMITTEE
2006,C00351197,5000,AMERICAN SOCIETY OF INTERVENTIONAL PAIN PHYSICIAN PAC
2006,C00235572,5000,ORRINPAC
2006,C00349746,5000,CALIFORNIA DAIRIES INC FEDERAL POLITICAL ACTION COMMITTEE
2006,C00012518,5000,WACHOVIA CORPORATION EMPLOYEES GOOD GOVERNMENT FEDERAL FUND I
2006,C00040535,5000,AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE (AXPPAC)
2006,C00096156,5000,HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE
2006,C00404418,5000,STAND TALL AMERICA PAC (STAPAC)
2006,C00024281,5000,AMERICAN MEAT INSTITUTE POLITICAL ACTION COMMITTEE
2006,C00391797,5000,DIRIGO PAC
2006,C00356915,5000,METRIS COMPANIES INC. POLITICAL ACTION COMMITTEE
2006,C00390997,5000,OVERNITE CORPORATION EMPLOYEE PAC (AKA OVERNITE EMPLOYEE PAC)
2006,C00082271,5000,PRECISION METALFORMING ASSOCIATION VOICE OF THE INDUSTRY COMMITTEE (PMAVIC)
2006,C00076810,5000,GENERAL MOTORS CORPORATION POLITICAL ACTION COMMITTEE (GM PAC)
2006,C00030718,5000,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE
2006,C00033555,5000,FLOWERS INDUSTRIES INC POLITICAL ACTION COMMITTEE
2006,C00120006,5000,MINNESOTA LIFE INSURANCE COMPANY PAC
2006,C00381475,5000,SOLVAY PHARMACEUTICALS INC BETTER GOVERNMENT COMMITTEE
2006,C00039016,5000,CLEVELAND-CLIFFS INC POLITICAL ACTION COMMITTEE (CLIFFSPAC)
2006,C00040329,5000,NATIONAL RETAIL FEDERATION RETAILPAC
2006,C00383869,5000,PRESERVING AMERICA'S TRADITIONS (PATPAC)
2006,C00350462,5000,CONTINUING A MAJORITY PARTY ACTION COMMITTEE       (CAMPAC)
2006,C00384701,5000,EVERY REPUBLICAN IS CRUCIAL (ERICPAC)
2006,C00408260,5000,GRANT THORNTON LLP POLITICAL ACTION COMMITTEE LLC
2006,C00329425,5000,NATIONAL FRANCHISEE ASSOCIATION PAC (NFA-PAC)
2006,C00345132,5000,REPUBLICAN JEWISH COALITION-POLITICAL ACTION COMMITTEE (RJC-PAC)
2006,C00410357,5000,KITPAC
2006,C00000729,5000,AMERICAN DENTAL POLITICAL ACTION CMTE.
2006,C00113803,5000,AMERICAN OSTEOPATHIC INFORMATION ASSOCIATION - OSTEOPATHIC POLITICAL ACTION COMMITTEE
2006,C00343277,5000,PETE'S POLITICAL ACTION COMMITTEE
2006,C00106146,5000,AMERICAN HOSPITAL ASSOCIATION PAC
2006,C00413245,5000,STRAIGHT TALK AMERICA
2006,C00341743,5000,VOLUNTEER PAC
2006,C00109017,5000,AT&T INC. FEDERAL POLITICAL ACTION COMMITTEE (AT&T FEDERAL PAC)
2006,C00110338,5000,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE
2006,C00348359,5000,NATIONAL CONSERVATIVE CAMPAIGN FUND
2006,C00410985,5000,MURRAY ENERGY CORPORATION POLITICAL ACTION COMMITTEE
2004,C00315747,5000,21ST CENTURY PAC
2004,C00331835,5000,SALLIE MAE INC POLITICAL ACTION COMMITTEE (SALLIE MAE PAC)
2004,C00231407,5000,GOLDEN RULE FINANCIAL CORPORATION - POLITICAL ACTION COMMITTEE
2004,C00084475,5000,3M COMPANY
2004,C00269407,5000,FUTURE LEADERS PAC
2004,C00393520,5000,FEDERAL NATIONAL MORTGAGE ASSOCIATION POLTICAL ACTION COMMITTEE AKA FANNIE MAE PAC
2004,C00360362,5000,"SCHWAN FOOD COMPANY, INC. POLITICAL ACTION COMMITTEE (SCHWAN PAC), THE"
2004,C00087874,5000,CONAGRA FOODS GOOD GOVERNMENT ASSOCIATION
2004,C00325076,5000,CAMPAIGN FOR WORKING FAMILIES
2004,C00014555,5000,FOOD MARKETING INSTITUTE POLITICAL ACTION COMMITTEE FOODPAC
2004,C00387670,5000,RICH POLITICAL ACTION COMMITTEE
2004,C00010082,5000,NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC)
2004,C00369090,5000,WENDY'S INTERNATIONAL INC. POLITICAL ACTION COMMITTEE
2004,C00126763,5000,NACS POLITICAL ACTION COMMITTEE
2004,C00377028,5000,BACK AMERICA'S CONSERVATIVES PAC (BAC PAC)
2004,C00117721,5000,CONGRESSIONAL MAJORITY COMMITTEE
2004,C00365171,5000,NUCLEAR MANAGEMENT COMPANY POLITICAL ACTION COMMITTEE (NMCPAC)
2004,C00148031,5000,CATERPILLAR EMPLOYEES POLITICAL ACTION COMMITTEE
2004,C00344648,5000,RELY ON YOUR BELIEFS FUND
2004,C00024281,5000,AMERICAN MEAT INSTITUTE POLITICAL ACTION COMMITTEE
2004,C00018945,5000,DORSEY NATIONAL FUND
2004,C00131185,5000,AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE
2004,C00012914,5000,TITLE INDUSTRY POLITICAL ACTION COMMITTEE
2004,C00166348,5000,SOUTHERN MINNESOTA SUGAR COOPERATIVE POLITICAL ACTION COMMITTEE
2004,C00311878,5000,MEDTRONIC INC. MEDICAL TECHNOLOGY FUND
2002,C00355271,5000,FEDERAL VICTORY FUND
2002,C00076182,5000,NATIONAL TURKEY FEDERATION POLITICAL ACTION COMMITEE/TURPAC
2002,C00120006,5000,MINNESOTA LIFE INSURANCE COMPANY PAC
2002,C00113811,5000,"ELECTRICAL CONSTRUCTION PAC-NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC (ECPAC)"
2002,C00325357,5000,PIONEER POLITICAL ACTION COMMITTEE
2002,C00186288,5000,VERIZON COMMUNICATIONS INC GOOD GOVERNMENT CLUB (FKA BELL ATLANTIC CORPORATION PAC)
2002,C00370668,5000,AMERICA'S MAJORITY TRUST
2002,C00207308,5000,"AG PROCESSING INC POLITICAL ACTION COMMITTEE, AGPAC"
2002,C00087874,5000,CONAGRA FOODS GOOD GOVERNMENT ASSOCIATION
2002,C00148031,5000,CATERPILLAR EMPLOYEES POLITICAL ACTION COMMITTEE
2002,C00336644,5000,AMERICAN SUCCESS POLITICAL ACTION COMMITTEE
2002,C00377028,5000,BACK AMERICA'S CONSERVATIVES PAC (BAC PAC)
2002,C00098061,5000,TARGETCITIZENS POLITICAL FORUM
2002,C00131185,5000,AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE
2002,C00356915,5000,METRIS COMPANIES INC. POLITICAL ACTION COMMITTEE
2002,C00292946,5000,AMERICANS FOR A REPUBLICAN MAJORITY (ARMPAC)
2002,C00093963,5000,ARCHER DANIELS MIDLAND COMPANY-ADM PAC
2002,C00150367,5000,VENTUREPAC
2000,C00001313,5000,REPUBLICAN PARTY OF MINNESOTA
2000,C00328468,5000,COMMITTEE FOR THE PRESERVATION OF CAPITALISM
2000,C00082917,5000,ASSOCIATED GENERAL CONTRACTORS OF AMERICA POLITICAL ACTION COMMITTEE
2000,C00250399,5000,AMERICANS FOR FREE INTERNATIONAL TRADE POLITICAL ACTION COMMITTEE INC
2000,C00003764,5000,NATIONAL RESTAURANT ASSOCIATION POLITICAL ACTION         COMMITTEE
2000,C00010470,5000,UNION PACIFIC CORP FUND FOR EFFECTIVE GOVERNMENT
2004,C00332296,4899,SUSAN B ANTHONY LIST CANDIDATE FUND
2002,C00167916,4750,LOCKRIDGE GRINDAL NAUEN POLITICAL FUND
2006,C00109546,4500,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE
2006,C00271007,4500,HUMANA INC. POLITICAL ACTION COMMITTEE
2006,C00029348,4500,AMERICAN FOREST & PAPER ASSOCIATION POLITICAL ACTION COMMITTEE
2006,C00321158,4500,SALEM COMMUNICATIONS CORPORATION POLITICAL ACTION COMMITTEE
2006,C00185694,4500,ASSURANT INC. POLITICAL ACTION COMMITTEE
2006,C00279455,4500,ZENECA INC. POLITICAL ACTION COMMITTEE
2004,C00107771,4500,XCEL ENERGY EMPLOYEE POLITICAL ACTION COMMITTEE (XPAC)
2004,C00128512,4500,J. P. MORGAN CHASE & CO. PAC
2004,C00199703,4500,SMITHKLINE BEECHAM CORPORATION POLITICAL ACTION COMMITTEE (GLAXOSMITHKLINE PAC)
2004,C00366120,4500,AMERICAN LIBERTY POLITICAL ACTION COMMITTEE
2002,C00227546,4500,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE
2002,C00126763,4500,NACS POLITICAL ACTION COMMITTEE
2002,C00365171,4500,NUCLEAR MANAGEMENT COMPANY POLITICAL ACTION COMMITTEE (NMCPAC)
2002,C00360362,4500,"SCHWAN'S  SALES ENTERPRISES, INC. POLITICAL ACTION COMMITTEE (SCHWAN'S PAC)"
2002,C00109017,4500,SBC COMMUNICATIONS INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (SBC EMPAC)
2002,C00101485,4500,ECOLAB INC POLITICAL ACTION COMMITTEE
2004,C00034272,4398,NATIONAL CHICKEN COUNCIL POLITICAL ACTION COMMITTEE (FKA) NATIONAL BROILER COUNCIL PAC
2006,C00201871,4200,NATIONAL PORK PRODUCERS COUNCIL PORK PAC
2006,C00410316,4200,MONEYGRAM INTERNATIONAL INC GOOD GOVERNMENT FUND
2006,C00405076,4200,BEST BUY CO INC EMPLOYEE POLITICAL FORUM
2000,C00218263,4200,TCF PAC
2006,C00390526,4142,HOME SCHOOL LEGAL DEFENSE ASSOCIATION FEDERAL POLITICAL ACTION COMMITTEE
2004,C00001727,4055,BUSINESS INDUSTRY POLITICAL ACTION COMMITTEE
2002,C00001727,4039,BUSINESS INDUSTRY POLITICAL ACTION COMMITTEE
2006,C00413070,4000,TRUTH ACCOUNTABILITY AND COURAGE POLITICAL ACTION COMMITTEE (TACPAC)
2006,C00034272,4000,NATIONAL CHICKEN COUNCIL POLITICAL ACTION COMMITTEE (FKA) NATIONAL BROILER COUNCIL PAC
2006,C00404194,4000,GENWORTH FINANCIAL INC POLITICAL ACTION COMMITTEE GENWORTHPAC
2006,C00236778,4000,OWNER-OPERATOR INDEPENDENT DRIVERS ASSN INC POLITICAL ACTION COMMITTEE (AKA OOIDA-PAC)
2006,C00121319,4000,THRIVENT FINANCIAL FOR LUTHERANS - EMPLOYEE POLITICAL ACTION COMMITTEE
2006,C00059733,4000,BROWN-FORMAN CORPORATION NON-PARTISAN COMMITTEE FOR RESPONSIBLE GOVERNMENT
2006,C00235036,4000,ZURICH HOLDING COMPANY OF AMERICA COMMITTEE FOR GOOD GOVERNMENT (Z-PAC)
2006,C00087874,4000,CONAGRA FOODS GOOD GOVERNMENT ASSOCIATION
2006,C00266536,4000,PHILLIPS INTERNATIONAL INC POLITICAL ACTION COMMITTEE
2006,C00331835,4000,SALLIE MAE INC POLITICAL ACTION COMMITTEE (SALLIE MAE PAC)
2006,C00375360,4000,AMERICAN COLLEGE OF CARDIOLOGY POLITICAL ACTION COMMITTEE
2006,C00344648,4000,RELY ON YOUR BELIEFS FUND
2006,C00168864,4000,HARTFORD FINANCIAL SERVICES GROUP INC ADVOCATES FUND FKA (HARTFORD ADVOCATES FUND)
2006,C00099937,4000,COOPER INDUSTRIES POLITICAL ACTION COMMITTEE
2006,C00364778,4000,BANK OF AMERICA CORPORATION FEDERAL POLITICAL ACTION COMMITTEE
2006,C00304634,4000,MINEPAC A POLITICAL ACTION COMMITTEE OF THE NATIONAL MINING ASSOCIATION
2006,C00300376,4000,DOCTORS' COMPANY FEDERAL PAC (DOCPAC) ; THE
2006,C00383521,4000,INTERNATIONAL FOODSERVICE DISTRIBUTORS ASSOCIATION POLITICAL ACTION COMMITTEE (IFDA PAC)
2004,C00193177,4000,FINANCIAL SERVICES ROUNDTABLE PAC
2004,C00040535,4000,AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE (AXPPAC)
2004,C00109017,4000,SBC COMMUNICATIONS INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (SBC EMPAC)
2004,C00114025,4000,NATIONAL READY MIXED CONCRETE ASSN. PAC (CONCRETEPAC)
2004,C00274431,4000,UNITEDHEALTH GROUP INCORPORATED POLITICAL FUND
2004,C00121319,4000,THRIVENT FINANCIAL FOR LUTHERANS-EMPLOYEE POLITICAL ACTION COMMITTEE
2004,C00345744,4000,WISCONSIN LEADERSHIP PAC
2004,C00398750,4000,NEW PAC
2004,C00235739,4000,BURLINGTON NORTHERN SANTA FE CORPORATION RAILPAC (BNSF RAILPAC)
2004,C00101485,4000,ECOLAB INC POLITICAL ACTION COMMITTEE
2004,C00193631,4000,FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE
2004,C00158980,4000,THE BOND MARKET ASSOCIATION POLITICAL ACTION COMMITTEE
2004,C00008474,4000,CITIGROUP INC. POLITICAL ACTION COMMITTEE-FEDERAL (CITIGROUP PAC-FEDERAL)
2004,C00089458,4000,NATIONAL STONE SAND & GRAVEL ASSOCIATION ROCKPAC
2004,C00095109,4000,ALLIANZ LIFE INSURANCE CO/FIREMAN'S FUND INSURANCE CO PAC(ALLIANZ LIFE/FIREMAN'S FUND PAC)
2002,C00100693,4000,CHICAGO BOARD OF OPTIONS EXCHANGE INC PAC
2002,C00345967,4000,OTTER FOR IDAHO
2002,C00174060,4000,BELLSOUTH CORPORATION EMPLOYEES' FEDERAL POLITICAL ACTION COMMITTEE
2002,C00082040,4000,US CHAMBER OF COMMERCE PAC (NCAP)
2002,C00311878,4000,"MEDTRONIC, INC. MEDICAL TECHNOLOGY FUND"
2002,C00018028,4000,PRINTING INDUSTRIES OF AMERICA
2002,C00034595,4000,WELLS FARGO EMPLOYEE PAC
2002,C00024281,4000,AMERICAN MEAT INSTITUTE POLITICAL ACTION COMMITTEE
2000,C00325357,3940,PIONEER POLITICAL ACTION COMMITTEE
2006,C00045781,3800,OUTDOOR ADVERTISING ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE
2006,C00064774,3750,FPL PAC FLORIDA POWER & LIGHT CO EMPLOYEES POLITICAL ACTION COMMITTEE
2006,C00161604,3500,COOPERATIVE OF AMERICAN PHYSICIANS - MUTUAL PROTECTION TRUST (CAP-MPT) FEDERAL PAC
2006,C00089458,3500,NATIONAL STONE SAND & GRAVEL ASSOCIATION ROCKPAC
2006,C00079855,3500,BOWLING PROPRIETORS ASSN OF AMERICA PAC
2006,C00033423,3500,HSBC NORTH AMERICA POLITICAL ACTION COMMITTEE (H-PAC)
2002,C00000729,3500,AMERICAN DENTAL POLITICAL ACTION CMTE.
2002,C00250399,3500,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC
2002,C00345199,3500,MIDNIGHT SUN POLITICAL ACTION COMMITTEE
2002,C00193631,3500,FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE
2002,C00364174,3500,TOGETHER FOR OUR MAJORITY POLITICAL ACTION COMMITTEE
2002,C00010082,3500,NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC)
2000,C00356840,3500,AMERICANS FOR LAW AND LIBERTY (ALLPAC)
2006,C00001727,3186,BUSINESS INDUSTRY POLITICAL ACTION COMMITTEE
2004,C00147066,3178,AMERICAN COUNCIL OF LIFE INSURERS PAC
2006,C00297085,3000,EASTMAN KODAK COMPANY EMPLOYEE POLITICAL ACTION COMMITTEE
2006,C00343459,3000,AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION
2006,C00330076,3000,BAE SYSTEMS UNITED DEFENSE EMPLOYEES PAC
2006,C00332031,3000,INDEPENDENT ELECTRICAL CONTRACTORS INC PAC (IEC PRIDE PAC)
2006,C00336040,3000,H.J. HEINZ COMPANY POLITICAL ACTION COMMITTEE
2006,C00251447,3000,I.P.H.F.H.A. INC. POLITICAL ACTION COMMITTEE INC.
2006,C00307769,3000,GUIDANT CORPORATION PAC
2006,C00398750,3000,NEW PAC
2006,C00350744,3000,"GOLDMAN SACHS GROUP INC. POLITICAL ACTION COMMITTEE, THE"
2006,C00358440,3000,BALCH AND BINGHAM LLP FEDERAL POLITICAL COMMITTEE
2006,C00250068,3000,GROCERY MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE ('GMA PAC')
2006,C00403022,3000,THE COMMONWEALTH PAC
2006,C00225342,3000,MCGUIREWOODS LLP
2006,C00157875,3000,NATIONAL ASSOCIATION OF PLUMBING-HEATING-COOLING CONTRACTORS PAC AKA PHCC-PAC
2006,C00009423,3000,LAND O'LAKES INC/AGRILIANCE LLC PAC (LOL PAC) FKA LAND O'LAKE INC PAC
2006,C00083535,3000,DUKE ENERGY CORPORATION PAC
2006,C00088591,3000,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC
2006,C00216127,3000,SONNENSCHEIN NATH & ROSENTHAL LLP POLITICAL ACTION COMMITTEE (SONNENSCHEIN PAC)
2006,C00164145,3000,UNITED SERVICES AUTOMOBILE ASSOCIATION EMPLOYEE PAC - USAA EMPLOYEE PAC
2006,C00144311,3000,FEDERATED DEPARTMENT STORES INC. POLITICAL ACTION COMMITTEE (FDS-PAC)
2006,C00025346,3000,SUN PAC
2006,C00138560,3000,WASHINGTON POLITICAL ACTION COMMITTEE
2006,C00232843,3000,FINANCIAL SERVICE CENTERS OF AMERICA INC.
2006,C00005660,3000,AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS POLITICAL ACTION COMMITTEE
2004,C00122101,3000,SAFARI CLUB INTERNATIONAL POLITICAL ACTION COMMITTEE
2004,C00236778,3000,OWNER-OPERATOR INDEPENDENT DRIVERS ASSN INC POLITICAL ACTION COMMITTEE (AKA OOIDA-PAC)
